model,domain,position,K,drci_truncated,drci_std,ratio_to_true,sim_trunc_true,sim_std,drci_true,cud_90_drci,cud_90_sim
gemini_flash,philosophy,15,5,0.18525247931480407,0.0693058745971505,1.6717468303129834,0.8329437506198883,0.08325000411523051,0.1383375346660614,1,>14
gemini_flash,philosophy,15,7,0.14200260043144225,0.0687288618294805,1.3774921015998145,0.8443962740898132,0.07570651535226645,0.1383375346660614,1,>14
gemini_flash,philosophy,15,10,0.15672993898391724,0.07506503076184949,1.371065367640175,0.8452473044395447,0.07705796246490595,0.1383375346660614,1,>14
gemini_flash,philosophy,15,14,0.14021883964538573,0.07345413967585182,1.1953678591692352,0.8647010934352874,0.07481274654123383,0.1383375346660614,1,>14
llama_4_maverick,medical,30,1,0.7348325899243355,0.055962982878676897,0.8202011711685527,0.4735302340984344,0.0907800274270866,0.8977226620167493,10,>29
llama_4_maverick,medical,30,5,0.8020402769744396,0.04765759677739316,0.894321821886509,0.6935606598854065,0.07545685653869512,0.8977226620167493,10,>29
llama_4_maverick,medical,30,10,0.8175156526267529,0.06189164622689304,0.9120228188596085,0.6935213398933411,0.06796855291037537,0.8977226620167493,10,>29
llama_4_maverick,medical,30,15,0.8606556710600853,0.050638366665956176,0.9598897355128951,0.7818957722187042,0.0806304612440158,0.8977226620167493,10,>29
llama_4_maverick,medical,30,20,0.8930258117616177,0.04030244592685918,0.9960723536367369,0.7665515708923339,0.09274664025951165,0.8977226620167493,10,>29
llama_4_maverick,medical,30,29,0.8835404195263982,0.04255681273332467,0.9855443966636374,0.8048556852340698,0.0801888365480138,0.8977226620167493,10,>29
llama_4_maverick,philosophy,15,1,0.10312148571014404,0.04403781452976106,0.8816264552480045,0.8817162263393402,0.04072283056548151,0.1287522506713867,3,14
llama_4_maverick,philosophy,15,3,0.11546429395675659,0.04316652119133435,1.0154296870565984,0.8739081645011901,0.05417267990840891,0.1287522506713867,3,14
llama_4_maverick,philosophy,15,5,0.1197467064857483,0.03566155554010037,1.0067938097481792,0.8802775645256042,0.053197346555284394,0.1287522506713867,3,14
llama_4_maverick,philosophy,15,7,0.11542389465838063,0.030970553240846747,1.0157569526074062,0.882832831265975,0.04984050660878989,0.1287522506713867,3,14
llama_4_maverick,philosophy,15,10,0.1252674192798381,0.04545243847640019,1.0919509188391177,0.8804579073069047,0.05208623059970127,0.1287522506713867,3,14
llama_4_maverick,philosophy,15,14,0.11560635889569919,0.03809411241904103,0.9477391591969382,0.9038724439839522,0.05072335133561913,0.1287522506713867,3,14
qwen3_235b,medical,30,1,0.910132532925345,0.08577591609418271,0.975585226249487,0.6831396651268006,0.05112948133025296,0.9355083438334987,1,>29
qwen3_235b,medical,30,5,0.9415328446682543,0.05810210669692456,1.009033316019545,0.718013356924057,0.06710516705363491,0.9355083438334987,1,>29
qwen3_235b,medical,30,10,0.9352100073453039,0.05977542202489387,1.0028138698543698,0.6846947312355042,0.069460938767871,0.9355083438334987,1,>29
qwen3_235b,medical,30,15,0.9439095822628587,0.06796322911917174,1.0115635515267094,0.7487902665138244,0.06553582589205824,0.9355083438334987,1,>29
qwen3_235b,medical,30,20,0.9535499985702336,0.061967368613118405,1.0223773086097383,0.7788557970523834,0.08230334970912183,0.9355083438334987,1,>29
qwen3_235b,medical,30,29,0.9482125874911435,0.0642024357007593,1.0167694616973506,0.8184159135818482,0.08531248493303131,0.9355083438334987,1,>29
qwen3_235b,philosophy,15,1,0.2278336465358734,0.05002233157611516,1.2086879281493754,0.7943315279483795,0.054081139151002815,0.19589736461639404,1,>14
qwen3_235b,philosophy,15,3,0.2379214870929718,0.05477334719354771,1.271198283267471,0.785145891904831,0.05553909302016475,0.19589736461639404,1,>14
qwen3_235b,philosophy,15,5,0.21370110630989075,0.05977599075658483,1.1306814971357584,0.8143824708461761,0.05853338555578046,0.19589736461639404,1,>14
qwen3_235b,philosophy,15,7,0.20673818230628968,0.04274112018821926,1.1052856276863505,0.8175781726837158,0.05182209053690372,0.19589736461639404,1,>14
qwen3_235b,philosophy,15,10,0.19667720556259155,0.041315442213002464,1.0367809222701432,0.8369917953014374,0.04738398077250778,0.19589736461639404,1,>14
qwen3_235b,philosophy,15,14,0.1893116307258606,0.04018794643513597,1.0072474007615886,0.8481063020229339,0.04003819530505895,0.19589736461639404,1,>14
