model,model_display,total_params_B,active_params_B,architecture,group,domain,trial,drci_cold,drci_scrambled,drci_mean,mean_true,mean_cold,mean_scrambled
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,23,0.43775538454453156,0.40914696057637534,0.42345117256045345,1.0,0.5622446154554684,0.5908530394236247
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,24,0.43256312112013495,0.45416179398695633,0.44336245755354564,1.0,0.567436878879865,0.5458382060130437
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,25,0.40724129478136695,0.41099063158035276,0.40911596318085985,1.0,0.592758705218633,0.5890093684196472
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,26,0.4425704121589661,0.4119640260934829,0.4272672191262245,1.0,0.5574295878410339,0.5880359739065171
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,27,0.46593463669220603,0.43156279623508453,0.4487487164636453,1.0,0.534065363307794,0.5684372037649155
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,28,0.39515271087487536,0.3871378789345423,0.39114529490470884,1.0,0.6048472891251246,0.6128621210654577
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,29,0.42066868046919503,0.34565388758977256,0.3831612840294838,1.0,0.579331319530805,0.6543461124102274
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,30,0.4517994542916616,0.4063622852166494,0.4290808697541555,1.0,0.5482005457083384,0.5936377147833506
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,31,0.40127874612808223,0.3560330589612325,0.37865590254465736,1.0,0.5987212538719178,0.6439669410387675
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,32,0.4169664810101191,0.35674475133419037,0.38685561617215475,1.0,0.5830335189898809,0.6432552486658096
kimi_k2,Kimi K2,1040,32,MoE,open,philosophy,33,0.43512990772724147,0.3691784848769506,0.40215419630209603,1.0,0.5648700922727585,0.6308215151230494
